cif_file,metal,modification,mod_code,sa,mpd,pd,pv,vf,ci,ad,time,ph,temp,ionic_charge,atomic_radius,polarizability,electronegativity,source_file,first_model_name,first_model_q,first_global_rank,first_metal_rank
BIBBUL_clean,Zn,Unmodified,0,120.909,10.693562927490923,3.85878,0.323237,0.4268,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,204.21139654503946,1,1
FIHHOV_clean,Zn,Unmodified,0,132.245,10.615630080532345,6.48503,0.350966,0.475,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,202.7974281953062,2,2
AVUPIR_SL,Zr,Unmodified,0,79.0,14.66060759493671,3.63524,0.289547,0.4362,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,197.51823141260894,3,1
ITONAI_clean,Zr,Unmodified,0,79.0,15.189012658227849,5.09225,0.299983,0.5116,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,197.51823141260894,4,1
OCIHIS_clean,Zr,Unmodified,0,79.0,15.920101265822783,4.00435,0.314422,0.4736,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,197.51823141260894,5,1
FEPQEW_clean,Ti,Unmodified,0,79.0,12.362379746835444,4.04938,0.244157,0.4636,300.0,500.0,720.0,7.0,298.0,4.0,140.0,10.0,1.54,2019-11-01-ASR-internal_14142.csv,GBDT,196.7860204113384,6,1
ZONBAH_clean,Zr,Unmodified,0,79.0,12.45832911392405,3.78181,0.246052,0.4288,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,196.75565523566883,7,2
JIVSIQ_clean,Zr,Unmodified,0,79.0,10.601721518987341,3.85875,0.209384,0.4546,300.0,500.0,720.0,7.0,298.0,4.0,160.0,11.1,1.33,2019-11-01-ASR-internal_14142.csv,GBDT,196.5884950626522,8,3
GEDSIT_clean,Nd,Unmodified,0,79.0,16.03635443037975,4.6219,0.316718,0.4614,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,196.56852913020694,9,1
GEDRIS_clean,Nd,Unmodified,0,79.0,14.8526582278481,5.02719,0.29334,0.4398,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,196.56852913020694,10,1
LAJDUV_charged,Ti,Unmodified,0,79.0,13.263645569620254,2.77965,0.261957,0.4198,300.0,500.0,720.0,7.0,298.0,4.0,140.0,10.0,1.54,2019-11-01-ASR-internal_14142.csv,GBDT,196.07841743680137,11,2
LAJDUV02_charged,Ti,Unmodified,0,79.0,12.979240506329116,2.78649,0.25634,0.4106,300.0,500.0,720.0,7.0,298.0,4.0,140.0,10.0,1.54,2019-11-01-ASR-internal_14142.csv,GBDT,196.07841743680137,12,2
LAJDUV03_charged,Ti,Unmodified,0,79.0,13.076202531645569,2.79651,0.258255,0.412,300.0,500.0,720.0,7.0,298.0,4.0,140.0,10.0,1.54,2019-11-01-ASR-internal_14142.csv,GBDT,196.07841743680137,13,2
LAJDUV01_charged,Ti,Unmodified,0,79.0,13.040506329113924,2.79185,0.25755,0.4118,300.0,500.0,720.0,7.0,298.0,4.0,140.0,10.0,1.54,2019-11-01-ASR-internal_14142.csv,GBDT,196.07841743680137,14,2
magnetochemistry3010001_PF290NdNO3_clean,Nd,Unmodified,0,79.0,12.053164556962026,4.34003,0.23805,0.435,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,15,2
BUSSEP_clean,Nd,Unmodified,0,79.0,11.176455696202531,5.87951,0.220735,0.4442,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,16,2
DOJXUW_clean,Nd,Unmodified,0,79.0,13.35660759493671,4.83603,0.263793,0.4402,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,17,2
IYAHAT_clean,Nd,Unmodified,0,79.0,12.975392405063293,4.67222,0.256264,0.4528,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,18,2
magnetochemistry3010001_PF362NdCl_clean,Nd,Unmodified,0,79.0,12.361164556962024,4.20828,0.244133,0.445,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,19,2
GUJGEY_clean,Nd,Unmodified,0,79.0,13.046683544303798,4.66121,0.257672,0.438,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,20,2
RAVCUO_clean,Nd,Unmodified,0,79.0,11.772759493670886,4.66502,0.232512,0.4046,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,21,2
YEBKOG_clean,Nd,Unmodified,0,79.0,13.915544303797468,4.5315,0.274832,0.5136,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,22,2
MOWQIZ_clean,Nd,Unmodified,0,79.0,13.849569620253165,5.23784,0.273529,0.5288,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,23,2
AQMAND01_clean,Nd,Unmodified,0,79.0,11.296506329113924,3.38568,0.223106,0.4646,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,24,2
AMALND_clean,Nd,Unmodified,0,79.0,13.457772151898734,3.73865,0.265791,0.4986,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,25,2
LEDJUA_clean,Nd,Unmodified,0,79.0,11.857316455696202,3.65716,0.234182,0.4356,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,26,2
FAFGAU_clean,Nd,Unmodified,0,79.0,11.353974683544303,4.21105,0.224241,0.4222,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,27,2
VUCDAA_clean,Nd,Unmodified,0,79.0,13.15007594936709,5.82839,0.259714,0.4802,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,28,2
USUQOQ_clean,Nd,Unmodified,0,79.0,12.646835443037975,5.12561,0.249775,0.4598,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,29,2
AQMAND_clean,Nd,Unmodified,0,79.0,11.15387341772152,3.37168,0.220289,0.4536,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,30,2
GAFBEX_clean,Nd,Unmodified,0,79.0,13.305113924050634,3.39789,0.262776,0.5018,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,31,2
VARWES_charged,Nd,Unmodified,0,79.0,11.163139240506329,4.65014,0.220472,0.4318,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,32,2
SEVWEV_clean_h,Nd,Unmodified,0,79.0,11.057518987341773,3.1447,0.218386,0.4256,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.64487641685653,33,3
KIHTOL01_clean,Nd,Unmodified,0,79.0,9.921367088607594,3.32214,0.195947,0.3658,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.6387927802502,34,4
KIHTOL_clean,Nd,Unmodified,0,79.0,10.098126582278482,3.42127,0.199438,0.37,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.6387927802502,35,4
JEMQEY_clean,Nd,Unmodified,0,79.0,10.250987341772152,3.332,0.202457,0.3544,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.6387927802502,36,4
PAPKUP_clean,Nd,Unmodified,0,79.0,9.945164556962025,3.54754,0.196417,0.3386,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.6387927802502,37,4
QITMOW_clean,Nd,Unmodified,0,79.0,10.284860759493672,3.51564,0.203126,0.404,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.6387927802502,38,4
ODAJAG_clean,Nd,Unmodified,0,79.0,10.659645569620253,4.17677,0.210528,0.4414,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.6387927802502,39,4
NAJGAH_clean,Nd,Unmodified,0,79.0,9.720101265822786,3.37262,0.191972,0.3474,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.6387927802502,40,4
YUWKEH_clean,Nd,Unmodified,0,79.0,10.112101265822785,3.63512,0.199714,0.3642,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.6387927802502,41,4
MUFHUR_clean,Nd,Unmodified,0,79.0,10.522835443037975,3.42,0.207826,0.427,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.6387927802502,42,4
HIQPII_clean,Zn,Unmodified,0,79.0,14.207797468354432,3.86804,0.280604,0.4132,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,194.05140010388246,43,3
NANNAU_clean,Zn,Unmodified,0,79.0,16.020708860759495,4.84074,0.316409,0.4114,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,194.05140010388246,44,3
MEXDAU01_clean,Zn,Unmodified,0,79.0,14.390582278481013,4.5761,0.284214,0.534,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,194.05140010388246,45,3
c5cc06190c_c5cc06190c2_clean,Zn,Unmodified,0,79.0,14.415139240506328,3.47605,0.284699,0.4728,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,194.05140010388246,46,3
FESBEM_clean,Zn,Unmodified,0,79.0,15.310481012658228,5.39035,0.302382,0.452,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv,GBDT,194.05140010388246,47,3
