cif_file,metal,modification,mod_code,sa,mpd,pd,pv,vf,ci,ad,time,ph,temp,ionic_charge,atomic_radius,polarizability,electronegativity,source_file
ABEMIF_clean,Cu,Unmodified,0,1105.15,2.030917070080984,11.25251,0.561117,0.6464,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ABETIN_clean,Cu,Unmodified,0,3810.89,1.2833117723156533,9.47418,1.22264,0.7302,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ABEXEN_clean,In,Unmodified,0,2447.09,1.8251882848607939,18.8079,1.1166,0.753,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv
ABEXUC_clean,Nd,Unmodified,0,490.198,2.147581181481769,4.74458,0.263185,0.4864,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv
ABUWOJ_clean,Zn,Unmodified,0,1506.68,1.4233095282342632,5.07969,0.536118,0.621,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
ABUXUT_clean,Cu,Unmodified,0,79.0,11.010177215189874,3.18589,0.217451,0.3604,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ac403674p_si_001_clean,Zn,Unmodified,0,1089.26,1.935196371848778,8.50423,0.526983,0.5906,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
ACAJIY_clean,Zn,Unmodified,0,752.116,2.5728584420488327,4.94766,0.483772,0.5292,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
ACAJIZ_clean,Cu,Unmodified,0,753.879,1.9666604322444319,6.1865,0.370656,0.4824,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ACAJOF_clean,Cu,Unmodified,0,920.046,1.830065018488206,6.86398,0.420936,0.513,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ACENIF_clean,Zn,Unmodified,0,961.352,1.6765971257146186,5.47565,0.40295,0.5292,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
ACIBOE_clean,Zn,Unmodified,0,1873.86,1.2707651585497315,8.25776,0.595309,0.6554,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
ACODED_clean,Cu,Unmodified,0,1166.06,1.617141485000772,6.0825,0.471421,0.5334,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
ACODIH_clean,Zn,Unmodified,0,1400.05,1.3304696260847828,6.23041,0.465681,0.5654,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
ACOLIP_clean,Zn,Unmodified,0,1015.2,2.0400985027580774,4.91034,0.517777,0.5434,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
acs.cgd.5b01686_WAHFUJ1434675_clean,Cu,Unmodified,0,846.274,1.7933057142249436,5.00451,0.379407,0.4874,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
acs.chemmater.6b02817_cm6b02817_si_004_clean,Fe,Unmodified,0,1658.39,1.8206284408371975,10.39878,0.754828,0.6776,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv
acs.chemrev.6b00346_cr6b00346_si_001_clean,Zn,Unmodified,0,2527.25,1.206990998120487,9.19439,0.762592,0.6912,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
acscombsci.5b00188_24205_clean,Zn,Unmodified,0,1319.94,1.3342212524811734,5.32506,0.440273,0.5558,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
acscombsci.5b00188_3001288_clean,Cu,Unmodified,0,5644.76,4.258342250157668,29.41365,6.00933,0.9382,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
acscombsci.5b00188_5020072_clean,Zn,Unmodified,0,4497.16,1.7027279438579015,14.46967,1.91436,0.8224,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
acscombsci.5b00188_5024922_clean,Zn,Unmodified,0,4757.71,2.5267702318972782,20.5205,3.00541,0.8866,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
acscombsci.5b00188_5036495_clean,Zn,Unmodified,0,6786.58,1.4802389421475912,10.8747,2.51144,0.8498,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
acscombsci.5b00188_5040209_clean,Zn,Unmodified,0,1767.06,1.3331137595780562,7.3732,0.588923,0.6162,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
acscombsci.5b00188_8372_clean,Zn,Unmodified,0,3314.45,0.8888388722110758,5.7583,0.736503,0.7062,300.0,500.0,720.0,7.0,298.0,2.0,134.0,5.8,1.65,2019-11-01-ASR-internal_14142.csv
acs.inorgchem.5b02973_ic5b02973_si_002_clean,Cu,Unmodified,0,1019.37,2.263880632155155,11.38761,0.576933,0.593,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv
