cif_file,metal,modification,mod_code,sa,mpd,pd,pv,vf,ci,ad,time,ph,temp,ionic_charge,atomic_radius,polarizability,electronegativity,source_file,first_model_name,first_model_q,first_global_rank,first_metal_rank,initial_screening_rank
FAPYEA04_clean,Cu,Unmodified,0,79.0,9.745620253164557,2.47016,0.192476,0.3048,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,192.91605488119973,11,1,1
VAJTUX_clean,Cu,Unmodified,0,79.0,15.972253164556962,4.46543,0.315452,0.458,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,2
ISAYOQ_charged,Cu,Unmodified,0,79.0,15.54754430379747,4.756,0.307064,0.4678,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,3
j.inoche.2015.05.017_inc05998-mmc2_clean,Cu,Unmodified,0,79.0,15.159898734177215,4.9133,0.299408,0.4356,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,4
IPIDAN_charged,Cu,Unmodified,0,79.0,16.029772151898733,5.29886,0.316588,0.4578,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,5
DIXNUV_clean,Cu,Unmodified,0,79.0,15.738481012658227,4.05204,0.310835,0.4868,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,6
AGAYOW_clean,Cu,Unmodified,0,79.0,15.100911392405063,5.75249,0.298243,0.5038,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,7
KINNUS_charged,Cu,Unmodified,0,79.0,14.827696202531648,4.90604,0.292847,0.3992,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,8
LUKRUE_clean_h,Cu,Unmodified,0,79.0,15.150278481012656,3.99432,0.299218,0.4088,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,9
WELTUD_charged,Cu,Unmodified,0,79.0,15.23493670886076,4.57967,0.30089,0.4676,300.0,500.0,720.0,7.0,298.0,2.0,128.0,6.1,1.9,2019-11-01-ASR-internal_14142.csv,GBDT,143.40249585474703,23,2,10
HOHJAR_clean,Fe,Unmodified,0,79.0,15.525316455696203,4.71677,0.306625,0.429,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,144.5252411539195,22,1,1
SIYXIH_clean,Fe,Unmodified,0,79.0,15.268759493670887,3.59608,0.301558,0.4722,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,144.5252411539195,22,1,2
SIYXIH10_clean,Fe,Unmodified,0,79.0,15.434835443037976,3.56925,0.304838,0.473,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,144.5252411539195,22,1,3
UHOHIK_clean,Fe,Unmodified,0,79.0,15.944,4.87283,0.314894,0.4658,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,144.5252411539195,22,1,4
ITETEH_clean,Fe,Unmodified,0,79.0,15.041974683544304,3.58044,0.297079,0.4642,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,144.5252411539195,22,1,5
GOSRIP_clean,Fe,Unmodified,0,79.0,14.33478481012658,4.372,0.283112,0.5122,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,143.2510845396486,24,2,6
FUFREE_clean,Fe,Unmodified,0,79.0,14.287594936708862,3.74304,0.28218,0.4258,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,143.2510845396486,24,2,7
WOBMIL01_clean,Fe,Unmodified,0,79.0,10.927291139240506,4.60929,0.215814,0.3484,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,142.48850836270847,25,3,8
NAVCAO_clean,Fe,Unmodified,0,79.0,11.791189873417721,5.32066,0.232876,0.45,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,142.48850836270847,25,3,9
LIXWEV_clean,Fe,Unmodified,0,79.0,13.996101265822785,5.08233,0.276423,0.498,300.0,500.0,720.0,7.0,298.0,3.0,126.0,8.4,1.83,2019-11-01-ASR-internal_14142.csv,GBDT,142.48850836270847,25,3,10
PEKKAS_clean,In,Unmodified,0,79.0,14.831037974683541,3.45164,0.292913,0.526,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,154.57798799584435,19,1,1
NOQLOV01_charged,In,Unmodified,0,79.0,10.917164556962026,3.28042,0.215614,0.4262,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.54125520463333,20,2,2
IYUHEQ_clean,In,Unmodified,0,79.0,11.035493670886076,4.01864,0.217951,0.3728,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.54125520463333,20,2,3
XOSPEB_clean,In,Unmodified,0,79.0,11.52253164556962,4.51127,0.22757,0.5006,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.54125520463333,20,2,4
MUHPOV_clean,In,Unmodified,0,79.0,11.669772151898734,4.89496,0.230478,0.4862,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.54125520463333,20,2,5
XAXQEU_SL,In,Unmodified,0,79.0,13.261215189873417,3.6354,0.261909,0.4522,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.54125520463333,20,2,6
HUZKUJ_clean,In,Unmodified,0,79.0,10.70967088607595,4.64239,0.211516,0.4698,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.54125520463333,20,2,7
HIBQUE_clean,In,Unmodified,0,79.0,10.082430379746835,4.31416,0.199128,0.449,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.37409503161672,21,3,8
QAJJOB_clean,In,Unmodified,0,79.0,10.18718987341772,5.4172,0.201197,0.5096,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.37409503161672,21,3,9
NOQLOV_charged,In,Unmodified,0,79.0,10.521620253164556,3.28229,0.207802,0.4154,300.0,500.0,720.0,7.0,298.0,3.0,150.0,7.5,1.78,2019-11-01-ASR-internal_14142.csv,GBDT,152.37409503161672,21,3,10
GEDSIT_clean,Nd,Unmodified,0,79.0,16.03635443037975,4.6219,0.316718,0.4614,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,196.56852913020694,7,1,1
GEDRIS_clean,Nd,Unmodified,0,79.0,14.8526582278481,5.02719,0.29334,0.4398,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,196.56852913020694,7,1,2
magnetochemistry3010001_PF290NdNO3_clean,Nd,Unmodified,0,79.0,12.053164556962026,4.34003,0.23805,0.435,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,9,2,3
BUSSEP_clean,Nd,Unmodified,0,79.0,11.176455696202531,5.87951,0.220735,0.4442,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,9,2,4
DOJXUW_clean,Nd,Unmodified,0,79.0,13.35660759493671,4.83603,0.263793,0.4402,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,9,2,5
IYAHAT_clean,Nd,Unmodified,0,79.0,12.975392405063293,4.67222,0.256264,0.4528,300.0,500.0,720.0,7.0,298.0,3.0,181.0,24.0,1.14,2019-11-01-ASR-internal_14142.csv,GBDT,195.80595295326683,9,2,6
