model,params_json,mean_r2,std_r2,mean_mae,mean_rmse
GBDT,"{""learning_rate"": 0.1, ""max_depth"": 5, ""min_samples_leaf"": 2, ""n_estimators"": 150}",0.9502128198848283,0.026791938472650764,6.963363537258724,13.145783485109272
GBDT,"{""learning_rate"": 0.1, ""max_depth"": 5, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.9465773682500765,0.028538818369806193,7.477434932501831,13.629686469329332
GBDT,"{""learning_rate"": 0.1, ""max_depth"": 5, ""min_samples_leaf"": 3, ""n_estimators"": 150}",0.9450621369368981,0.031549367167122117,7.379482304200275,13.610489235625309
GBDT,"{""learning_rate"": 0.05, ""max_depth"": 5, ""min_samples_leaf"": 2, ""n_estimators"": 150}",0.9441401074447441,0.028708757911452363,7.993943663755272,13.99878223962627
GBDT,"{""learning_rate"": 0.1, ""max_depth"": 5, ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.9416759057401164,0.03326995832038975,7.824761202944683,14.037777074783255
GBDT,"{""learning_rate"": 0.05, ""max_depth"": 5, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.938412086187717,0.03056536312768858,8.770382316170942,14.73846918497344
GBDT,"{""learning_rate"": 0.05, ""max_depth"": 5, ""min_samples_leaf"": 3, ""n_estimators"": 150}",0.9373654050007219,0.03507136220918128,8.270143684118443,14.59940602835006
GBDT,"{""learning_rate"": 0.05, ""max_depth"": 5, ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.9316389361426708,0.03631066074260531,9.014215678555434,15.345382509707665
GBDT,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 3, ""n_estimators"": 150}",0.9307415737565254,0.026954717987601795,10.186081725154043,15.869538510042918
GBDT,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 150}",0.9300624146778184,0.027551168068521648,10.11950311710785,15.951106828260444
GBDT,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.9179921453689903,0.031016684430684158,11.221139644056368,17.318082441072626
GBDT,"{""learning_rate"": 0.1, ""max_depth"": 3, ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.9173585209612097,0.029713325243089873,11.306092495636987,17.411753412937756
GBDT,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 150}",0.9045268247510441,0.0361019456931279,12.258370979654071,18.639977113007646
GBDT,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 3, ""n_estimators"": 150}",0.9027525163714281,0.03525919418451665,12.417441895511327,18.860509270168954
GBDT,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 2, ""n_estimators"": 100}",0.8791992699906105,0.043893731520732525,14.23514958014508,21.024463163980382
GBDT,"{""learning_rate"": 0.05, ""max_depth"": 3, ""min_samples_leaf"": 3, ""n_estimators"": 100}",0.876001502731025,0.042014867295870506,14.445774319616337,21.38004609494773
KNN,"{""n_neighbors"": 3, ""weights"": ""distance""}",0.9193835650468101,0.04084139170718432,8.84105490723666,16.71858409681554
KNN,"{""n_neighbors"": 3, ""weights"": ""uniform""}",0.8905628856045261,0.055489606917743614,10.414968683127572,19.587866352404934
KNN,"{""n_neighbors"": 5, ""weights"": ""distance""}",0.8897342436649239,0.05373725930956076,10.489631521658534,19.65123329220874
KNN,"{""n_neighbors"": 7, ""weights"": ""distance""}",0.8677702890600137,0.06500261537689309,11.677986365701999,21.47871250124861
KNN,"{""n_neighbors"": 9, ""weights"": ""distance""}",0.848315463977954,0.07096388517280418,12.548379385274925,23.110368782067166
KNN,"{""n_neighbors"": 5, ""weights"": ""uniform""}",0.8399635038946011,0.07230156060961136,13.148221024691358,23.881756515851098
KNN,"{""n_neighbors"": 7, ""weights"": ""uniform""}",0.8029864502164065,0.0865195595975092,15.043858377425044,26.452327905592757
KNN,"{""n_neighbors"": 9, ""weights"": ""uniform""}",0.7750257928022835,0.09246730375017499,16.2191811351166,28.45398120359526
LR,"{""fit_intercept"": true}",0.3930432640688749,0.09414460352688427,33.86105515081991,48.239088608094
LR,"{""fit_intercept"": false}",0.08332538643940689,0.1545759498151088,45.14470235377414,59.17481528322927
RF,"{""max_depth"": 12, ""min_samples_leaf"": 5, ""n_estimators"": 100}",0.8867603102287631,0.042160297170033986,11.870516960047146,20.40363772590052
RF,"{""max_depth"": 12, ""min_samples_leaf"": 5, ""n_estimators"": 150}",0.8859475745364674,0.04210198695458638,11.8818008008158,20.46854584637653
